id,city,country,lat,lng,date,temp,max temp,humidity,cloudiness,wind speed
2206939,Bluff,NZ,-46.6,168.33,1619470423,41.0,41.0,84,55,10.0
4004293,Ixtapa,MX,20.7,-105.2,1619470653,82.4,82.4,69,75,13.8
546105,Nikolskoye,RU,59.7,30.79,1619470653,41.23,42.8,70,75,4.47
2075265,Busselton,AU,-33.65,115.33,1619470620,56.26,57.0,92,100,1.01
2377450,Nouakchott,MR,18.09,-15.98,1619470654,69.8,69.8,78,7,17.27
286245,Sur,OM,22.57,59.53,1619470654,86.83,86.83,36,27,10.27
3833367,Ushuaia,AR,-54.8,-68.3,1619470654,44.6,44.6,81,90,3.44
3440777,Rocha,UY,-34.48,-54.33,1619470655,57.02,57.02,73,0,7.27
2318123,Yenagoa,NG,4.92,6.26,1619470655,79.43,79.43,87,14,4.25
487928,Novikovo,RU,51.15,37.89,1619470655,37.42,37.42,92,100,14.29
935215,Saint-Philippe,RE,-21.36,55.77,1619470656,71.55,77.0,78,75,16.11
2729907,Longyearbyen,SJ,78.22,15.64,1619470656,21.2,21.2,58,40,13.8
2208091,Waitara,NZ,-38.92,174.25,1619470656,52.0,52.0,76,100,3.0
1634614,Nabire,ID,-3.37,135.48,1619470656,75.2,75.2,86,87,2.93
6170031,Tuktoyaktuk,CA,69.45,-133.04,1619470657,8.6,8.6,72,1,16.11
3832899,Viedma,AR,-40.81,-63.0,1619470657,66.74,66.74,35,0,8.57
3430863,Mar del Plata,AR,-38.0,-57.56,1619470657,61.48,62.6,63,0,8.05
5576064,Craig,US,40.52,-107.55,1619470658,62.6,62.6,12,20,33.38
6540849,Acireale,IT,37.61,15.17,1619470658,57.02,60.01,94,40,9.22
2171099,Codrington,AU,-38.27,141.97,1619470658,54.12,54.12,80,61,2.77
1715015,Dicabisagan,PH,17.08,122.42,1619470659,74.37,74.37,83,98,5.53
3388456,São José da Coroa Grande,BR,-8.9,-35.15,1619470659,78.28,78.28,82,87,8.41
1015776,Bredasdorp,ZA,-34.53,20.04,1619470659,53.6,53.6,87,4,2.3
3985710,Cabo San Lucas,MX,22.89,-109.91,1619470659,79.18,80.01,36,75,9.22
3838859,Río Gallegos,AR,-51.62,-69.22,1619470660,69.8,69.8,26,75,17.27
3981391,Tomatlán,MX,19.93,-105.25,1619470660,91.31,91.31,31,100,11.03
934322,Mahébourg,MU,-20.41,57.7,1619470660,78.8,78.8,78,75,16.11
4147241,Belle Glade,US,26.68,-80.67,1619470661,81.68,82.0,53,2,1.01
2065594,Mount Isa,AU,-20.73,139.5,1619470661,73.4,73.4,56,56,8.05
1806840,Huilong,CN,31.81,121.66,1619470661,63.28,64.99,83,100,7.92
786827,Požarevac,RS,44.62,21.18,1619470662,48.78,50.0,53,90,9.22
1517060,Zaysan,KZ,47.47,84.87,1619470662,44.44,44.44,43,75,5.03
